Планета;Созвездие;Характер;Цели и амбиции;Эмоции;Дружба;Любовь;Семья;Финансовое благополучие;Карьера;Интеллект;Умения;Здоровье;События прошлого;Потенциал развития;Творчество;Риски;Миссия
Солнце;Овен;Лидерские качества, энергичность, спонтанность, упрямство;Стремление к большим результатам;—;—;Сотрудничает с окружающими, но может быть упрямым;—;—;—;—;—;—;—;—;—;Необходимость контролировать внутренний энергетический вулкан;Достижение успеха через лидерство
Луна;Овен;Жизнерадостность, оптимизм, стремление к славе;Достижение лидерства и признания;—;—;Открытость в отношениях, стремление к вниманию;—;—;—;—;—;—;—;Развитие терпения;—;Склонность к конфликтам, излишняя импульсивность;Достижение успеха через активность
Меркурий;Овен;Импульсивность, энергичность, склонность к спорам;Стремление к лидерству;—;—;Прямолинейность в отношениях;—;—;—;Генерация новых идей, аналитическое мышление;—;—;—;Развитие тактичности;Творческий подход к решению задач;Эмоциональная несдержанность, склонность к конфликтам;Достижение успеха через лидерство
Венера;Овен;Напористость, нетерпеливость, стремление к лидерству;Быстрое достижение целей;—;—;Прямолинейность в отношениях, стремление к вниманию;—;—;—;—;—;—;—;Развитие тактичности;—;Склонность к конфликтам, излишняя напористость;Достижение успеха через активность
Марс;Овен;Целеустремлённость, безудержность, импульсивность;Быстрое достижение целей;—;—;Прямолинейность, стремление к конкуренции в отношениях;—;—;—;—;—;—;—;Развитие самоконтроля;—;Склонность к агрессии, излишняя напористость;Достижение успеха через активность
Юпитер;Овен;Яркость, лидерские качества, энергичность;Стремление к успеху и финансовому благополучию;—;—;Прямолинейность, стремление к вниманию;—;—;—;—;—;—;—;Развитие тактичности;—;Склонность к конфликтам, излишняя напористость;Достижение успеха через активность
Сатурн;Овен;Резкость, импульсивность, стремление к лидерству;Быстрое достижение целей;—;—;Прямолинейность в отношениях, склонность к конфликтам;—;—;—;—;—;—;—;Развитие тактичности;—;Склонность к деспотизму, нетерпимость;Достижение успеха через активность
Уран;Овен;Независимость, уверенность в себе, стремление к бунтарству;Внесение трансформаций и улучшений;—;—;Прямолинейность, стремление к свободе в отношениях;—;—;—;—;—;—;—;Развитие тактичности;—;Склонность к конфликтам, излишняя вспыльчивость;Достижение успеха через инновации
Нептун;Овен;Чувствительность, упорство, импульсивность;Достижение целей любой ценой;—;—;—;—;—;—;—;—;—;—;Развитие уверенности;—;Склонность к депрессии, излишняя самокритика;Духовное развитие
Плутон;Овен;Упрямство, стремление к трансформации, лидерские качества;Усовершенствование мира;—;—;—;—;—;—;—;—;—;—;Развитие самоконтроля;—;Склонность к разрушению, излишняя напористость;Трансформация мира
Асцендент;Овен;Яркий, харизматичный, порывистый;Стремление к лидерству;—;—;Прямолинейность, стремление к вниманию;—;—;—;—;—;—;—;Развитие тактичности;—;Склонность к конфликтам, излишняя напористость;Достижение успеха через активность
Точка середины неба;Овен;Бунтарский характер, лидерские способности;Получение всеобщего признания и уважения;—;—;—;—;—;Военное дело, промышленность, спорт, медицина, творчество;—;—;—;—;Развитие терпения и сдержанности;—;Излишняя эмоциональность, раздражительность, спешка;Достижение успеха через решительность
Солнце;Телец;Медлительность, спокойствие, терпение, трудолюбие;Медленное достижение желаемого;—;—;—;—;—;—;—;—;—;—;—;;—;Склонность к накоплению, трудности с осознанием собственных чувств
Луна;Телец;Стремление к комфорту, стабильности, уюту;Создание надёжного тыла и финансовой стабильности;—;—;Постоянство, поиск надёжного партнёра;—;—;—;—;—;—;—;Развитие гибкости;;—;Склонность к лени, излишняя консервативность
Меркурий;Телец;Упрямство, целеустремлённость, стабильность;Достижение материального благополучия;—;—;Практичность в отношениях;—;—;—;Медленное усвоение информации, но глубокое понимание;—;—;—;Развитие гибкости;;Практический подход к творчеству;Излишняя консервативность, трудности с адаптацией к новому
Венера;Телец;Лёгкость, общительность, стремление к гармонии;Создание стабильных отношений;—;—;Постоянство, ценение красоты и комфорта;—;—;—;—;—;—;—;Развитие гибкости;;—;Излишняя консервативность, склонность к лени
Марс;Телец;Спокойствие, терпение, но скрытая агрессия;Достижение материального благополучия;—;—;Практичность, стремление к стабильности в отношениях;—;—;—;—;—;—;—;Развитие гибкости;;—;Склонность к накоплению, излишняя жадность
