Планета;Дом;Характер;Цели и амбиции;Эмоции;Дружба;Любовь;Семья;Финансовое благополучие;Карьера;Интеллект;Умения;Здоровье;События прошлого;Потенциал развития;Творчество;Риски;Миссия
Солнце;1;Уверенность, независимость, ответственность;Стремление к лидерству и признанию;—;—;—;—;—;—;—;—;Необходимость следить за питанием;—;—;—;Гордость, доминирование;—
Луна;1;Капризность, застенчивость, чувствительность;—;Чрезмерная чувствительность к мнению окружающих;—;—;—;—;—;—;—;Чувствительность к окружающей среде;Влияние матери в детстве;—;—;—;—
Меркурий;1;Лёгкая адаптация, красноречие, возбудимость;—;—;—;—;—;—;—;Любознательность, остроумие;—;Нервные расстройства, потеря веса;—;—;—;—;—
Венера;1;Дружелюбие, эгоизм, избалованность;—;—;Притягивает людей, но может использовать их;—;—;—;—;—;—;—;—;—;—;—;—
Марс;1;Импульсивность, настойчивость, независимость;Желание иметь собственное дело;—;—;—;—;—;Организаторские способности;—;—;Риск травм и простудных заболеваний;—;—;—;Импульсивность, несчастные случаи;—
Юпитер;1;Оптимизм, щедрость;—;Вы уверены в себе и веселы, но можете быть доверчивыми, чересчур эмоциональными и поддаваться собственным слабостям;—;—;—;—;—;—;Способность вдохновлять людей;Меньшая вероятность иметь проблемы с весом;—;Много возможностей в личностном росте;—;—;—
Сатурн;1;Замкнутость, дисциплинированность, трудолюбие;Стремление к достижениям;Чувство неполноценности, депрессии;—;—;—;—;—;—;—;—;Сложное детство, строгое воспитание;—;—;—;—
Уран;1;Независимость, оригинальность, интуиция;—;—;—;—;—;—;—;—;—;—;—;—;—;Нервность, одиночество;—
Нептун;1;Мечтательность, гиперчувствительность;—;—;—;—;—;—;—;—;—;Реакция на воображаемые недуги;—;—;—;Потеря эго, разочарования;—
Плутон;1;Сильная воля, магнетизм, чувствительность;—;—;—;—;—;—;—;—;—;—;—;—;—;Гнев, борьба за убеждения;Развитие способности к исцелению
Солнце;2;Чувство достоинства, самоуважение, стремление к власти;—;—;—;—;—;Деньги приходят и уходят легко, щедрость, экстравагантность;—;—;—;—;—;—;—;Жадность, чувство нелюбимости;—
Луна;2;—;—;Эмоциональная связь с материальными ресурсами;—;—;—;Финансовое положение нестабильно, чередование щедрости и экономии;—;—;—;—;—;—;—;—;—
Меркурий;2;—;—;—;—;—;—;Зарабатывает с помощью ума, знаний, общения;—;—;—;—;—;—;—;Деньги приходят и уходят внезапно;—
Венера;2;—;—;—;—;—;—;Привлекает деньги, тратит быстро, любит роскошь;—;—;—;—;—;—;—;—;—
Марс;2;—;—;—;—;—;—;Много энергии тратится на заработок, расточительность;—;—;—;—;—;—;—;Плохой контроль над привычками, расточительство;—
Юпитер;2;—;Финансовый успех, оптимизм;—;—;—;—;Деньги приходят легко, внушает доверие, может получать финансовую помощь;—;—;—;—;—;—;—;Баловство, экстравагантность, переедание;—
Сатурн;2;Бережливость, практичность, ответственность;—;Депрессия из-за материальных вопросов, чувство неполноценности;—;—;—;Много работает для достатка, но забывает наслаждаться деньгами;—;—;—;—;Акцент на финансовых вопросах в прошлых жизнях;—;—;—;Пересмотр ценностей, любовь к себе
Уран;2;—;—;—;—;—;—;Зарабатывает оригинально, деньги приходят и уходят неожиданно;—;—;—;—;—;—;—;Непредвиденные изменения в финансовом состоянии;—
Нептун;2;Сильное воображение, психическая чувствительность, интуиция, яркие сны;—;—;—;—;—;Финансовые дела могут быть нестабильными, склонность к щедрости или скупости;—;—;—;—;—;—;—;Риск потерь из-за кражи, мошенничества, обмана;—
Плутон;2;Решительность, терпеливость, энергичность, волевые качества;—;—;—;—;—;Огромные финансовые возможности, жажда денег и собственности;—;—;—;—;—;—;—;Риск контроля ресурсов другими, жадность;—
Солнце;3;Постоянная погоня за знаниями, открытость для новых идей;—;—;—;—;—;—;—;Созидательный ум, научное обоснование идей;—;—;—;—;—;Гордость, интеллектуальное доминирование, недоразумения с родственниками;—
Луна;3;Любознательность, ясное выражение чувств, острая потребность в общении;—;—;—;—;—;—;—;Обучение через слушание, гибкость, адаптация;—;—;—;—;—;Эмоциональность, утомление от рутины;—
Меркурий;3;Ум, бдительность, адаптивность, разносторонность, трудолюбие;—;—;—;—;—;—;Преподавание, детальная работа, работа с компьютером, писательство, разговорная деятельность;Свободное выражение мыслей, доведение идей до завершения;Мастер на все руки;—;—;—;—;—;—
Венера;3;Художественные и творческие способности, любовь к путешествиям;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—
Марс;3;Беспокойство, возбудимость, нервность, решительность, энтузиазм;—;—;—;—;—;—;—;Импульсивное мышление, аналитическое мышление;—;—;—;—;—;Проблемы с ближайшими родственниками и соседями;—
Юпитер;3;Оптимизм, тактичность, философские мысли;—;—;—;—;—;—;—;Развитие умственных способностей, интуиция;—;—;—;—;—;Непрактичность, самодовольство;—
Сатурн;3;Серьезность, строгость, терпеливость, аккуратность;—;Депрессия, пессимизм, одиночество, подавленность;—;—;—;—;Организаторские способности, консервативное мышление;Глубокая концентрация, математические способности;—;—;—;—;—;Изоляция от родственников и соседей;—
Уран;3;Независимость, оригинальность, креативность, любопытство, эксцентричность;—;—;—;—;—;—;—;Умственная неугомонность, поиск новой информации;—;—;—;—;—;Напряженные отношения с ближайшими родственниками;—
Нептун;3;Идеализм, творческие способности, визуализация, воображение;—;—;—;—;—;—;—;Впитывание информации без принуждения, ясновидение;—;—;—;—;—;Нервные расстройства, ненадежность, негативное настроение;—
Плутон;3;Разносторонность, вдохновленность, исследовательский характер;—;—;—;—;—;—;—;Поиск ответов на вопросы, исследование, решение головоломок;—;—;—;—;—;Разочарование, депрессия, беспокойство;—
Солнце;4;Желание построить крепкие основы, гордость, творческий потенциал;—;—;—;—;Сильное влияние родителей;—;—;—;—;—;—;—;—;Требовательность, склонность к диктаторству;—
Луна;4;Чувство семейности, любовь к антиквариату, потребность в безопасности;—;—;—;—;Сильное влияние родителей, частые переезды;—;Работа дома, создание уютной атмосферы;—;—;—;—;—;—;—;—
Меркурий;4;Прилежность, интерес к литературе, домашнее обучение;—;Легкая возбудимость;—;—;—;—;—;Постоянное изучение, чувство внутренней безопасности;—;—;—;—;—;Беспокойство, частые переезды;—
Венера;4;Желание роскошного дома, артистизм, гостеприимство;—;—;—;Любовь к семье и детям;—;—;—;—;—;—;—;—;—;Вероятность набора веса с годами;—
Марс;4;Стремление к независимости, безопасности, чрезмерная требовательность;—;Сильные эмоции, скрытое противоборство;—;—;Напряжение или вражда в семейном окружении;—;—;—;—;—;—;—;—;Эмоциональные всплески, склочность;—
Юпитер;4;Щедрость, уверенность в себе, гостеприимство, патриотизм;—;—;—;—;Сильное влияние родителей, возможное наследство;Благосостояние в зрелые годы;—;—;—;—;—;—;—;Показушность, слабости;—
Сатурн;4;Консервативность, стремление к безопасности, страх перемен;—;Внутреннее беспокойство, язвы;—;—;Много обязанностей, строгая дисциплина, забота о родителях;—;Работа с землей, недвижимость, антиквариат;—;—;—;—;—;—;Диктаторские качества, проблемы в семейной жизни;Усвоение жизненных уроков
Уран;4;Нерешенные проблемы в доме, неугомонность, желание свободы;—;—;—;—;Необычные отношения с родителями, семейные тайны;—;—;—;—;—;—;—;—;Внезапные изменения, эмоциональное влияние семьи;Интерес к астрологии, метафизике
Нептун;4;Внутренняя неуверенность, незащищенность, растерянность;—;Необъяснимые страхи, тревоги;—;—;Духовная связь с родителями, идеализация домашнего окружения;—;—;—;—;—;Смутные воспоминания о корнях;—;—;Фантазии, отрыв от реальности;—
Плутон;4;Воображение, интуиция, стремление к гармонии дома;—;—;—;—;Сильное влияние родителей, возможная напряженная обстановка дома;—;—;—;—;—;—;—;—;Взрывной темперамент, борьба за власть в семье;—
Солнце;5;Желание раскрыть творческий потенциал, наслаждение жизнью;—;—;—;—;—;—;—;—;—;—;—;—;Спорт, книги, актерское мастерство;Тенденция к диктаторству, ненужные риски;—
Луна;5;Эмоциональность, поиск удовольствий, обаяние;—;Колебания настроения, непостоянство;—;—;—;—;Театральная деятельность, забота о детях;—;—;—;—;—;—;Спекуляции, драматизация переживаний;—
