Планета;Планета;Аспект;Характер;Цели и амбиции;Эмоции;Дружба;Любовь;Семья;Финансовое благополучие;Карьера;Интеллект;Умения;Здоровье;События прошлого;Потенциал развития;Творчество;Риски;Миссия;;
Солнце;Луна;Соединение;Единство чувств и воли;Стремление к эмоциональной стабильности;Эмоциональная открытость;—;—;—;—;Успех в любой работе;—;—;Проблемы с пищеварением;—;—;—;Приступы агрессии;—;;
Солнце;Луна;Секстиль;—;Чёткие жизненные ориентиры, способность находить баланс между желаниями и долгом.;Гармоничные, сбалансированные эмоции, умение выражать чувства.;Гибкость, умение адаптироваться, интуитивное понимание окружающих.;Способность находить компромиссы и строить тёплые, доверительные отношения.;—;—;Благоприятен для профессий, связанных с коммуникацией и работой с людьми.;—;—;Хорошее физическое и психоэмоциональное здоровье, способность к саморегуляции.;—;—;—;Практически отсутствуют.;—;;
Солнце;Луна;Квадрат;—;—;—;—;"Проблемы в отношениях из-за несовпадения желаний и стремлений партнёров; необходимость гибкости и дипломатичности.";—;—;"Возможны трудности при целеполагании и осуществлении задуманного; рекомендуется стремление к духовному росту.";—;—;"Необходимость тщательной заботы о здоровье; преодоление пессимизма, укрепление иммунитета, предотвращение обострения хронических заболеваний.";—;—;—;"Борьба между сознанием и подсознательными реакциями; возможны ошибки, требующие осознания и коррекции.";—;;
Солнце;Луна;Трин;Доброжелательность, положительный жизненный настрой, искренность, заботливость, милосердие, готовность к компромиссам.;—;Позитивный настрой, уверенность в переменах к лучшему.;—;Гармоничные отношения, обоюдная симпатия, взаимопонимание, согласие, верность.;—;—;Успех в сферах строительства, финансов, образования, общественного питания, туризма.;—;—;"Физическое и духовное здоровье; сильный иммунитет, быстрая восстановляемость после заболеваний.";—;—;—;—;—;;
Солнце;Луна;Оппозиция;Внутренний конфликт между сознанием и инстинктами, нестабильность, импульсивность.;Противоречивые цели, сложность в расстановке приоритетов.;Эмоциональные качели, резкие смены настроения.;—;"Сложные, противоречивые отношения; возможность частых конфликтов и непонимания.";—;—;Потенциальные трудности в карьерном росте из-за нестабильности решений.;—;—;Возможны психосоматические заболевания, вызванные эмоциональными перегрузками.;—;—;—;Склонность к кризисам и самосаботажу.;—;;
Солнце;Меркурий;Соединение;Яркий интеллект, коммуникабельность;Стремление к самовыражению через речь;Эмоциональная вовлеченность в общение;—;—;—;—;Успех в профессиях, связанных с общением;Высокий;—;—;—;—;—;—;—;;
Солнце;Меркурий;Секстиль;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;;
Солнце;Меркурий;Квадрат;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;;
Солнце;Меркурий;Трин;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;;
Солнце;Меркурий;Оппозиция;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;;
Солнце;Венера;Соединение;Романтичность, любовь к комфорту и красоте;Стремление к гармонии в отношениях;Эмоциональная чувствительность;—;Гармония в отношениях;—;—;Успех в творческих профессиях;—;—;—;—;—;—;—;—;;
Солнце;Венера;Секстиль;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;;
Солнце;Венера;Квадрат;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;;
Солнце;Венера;Трин;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;;
Солнце;Венера;Оппозиция;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;;
